,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
274,381,382,Buffered Bike Lane,S ULSTER ST,E QUINCY AVE,E BELLEVIEW AVE,POINT (-104.89735 39.6317000000107),POINT (-104.8958 39.6302),"LINESTRING (-104.89735 39.6317000000107, -104.8958 39.6302)",1,330.02,"LINESTRING (-104.89735 39.6317000000107, -104.8958 39.6302)"
275,382,379,Buffered Bike Lane,S ULSTER ST,E QUINCY AVE,E BELLEVIEW AVE,POINT (-104.8958 39.6302),POINT (-104.8952 39.6294),"LINESTRING (-104.8958 39.6302, -104.8952 39.6294)",1,158.96,"LINESTRING (-104.8958 39.6302, -104.8952 39.6294)"
276,381,383,Buffered Bike Lane,S ULSTER ST,E QUINCY AVE,E BELLEVIEW AVE,POINT (-104.89735 39.6317000000107),POINT (-104.8966 39.6313),"LINESTRING (-104.89735 39.6317000000107, -104.8966 39.6313)",1,121.09,"LINESTRING (-104.89735 39.6317000000107, -104.8966 39.6313)"
277,383,379,Buffered Bike Lane,S ULSTER ST,E QUINCY AVE,E BELLEVIEW AVE,POINT (-104.8966 39.6313),POINT (-104.8952 39.6294),"LINESTRING (-104.8966 39.6313, -104.8952 39.6294)",1,375.88,"LINESTRING (-104.8966 39.6313, -104.8952 39.6294)"
278,384,381,Buffered Bike Lane,S ULSTER ST,E QUINCY AVE,E BELLEVIEW AVE,POINT (-104.9003 39.633),POINT (-104.89735 39.6317000000107),"LINESTRING (-104.9003 39.633, -104.89735 39.6317000000107)",1,451.27,"LINESTRING (-104.9003 39.633, -104.89735 39.6317000000107)"
279,271,386,Shared Roadway,E 29TH AVE,E 29TH PL,E 29TH AVE,POINT (-104.900820000337 39.7582600001613),POINT (-104.9005 39.7577),"LINESTRING (-104.900820000337 39.7582600001613, -104.9005 39.7577)",4,104.93,"LINESTRING (-104.900820000337 39.7582600001613, -104.9005 39.7577)"
280,386,313,Shared Roadway,E 29TH AVE,E 29TH PL,E 29TH AVE,POINT (-104.9005 39.7577),POINT (-104.898716666618 39.7580000001919),"LINESTRING (-104.9005 39.7577, -104.898716666618 39.7580000001919)",4,241.53,"LINESTRING (-104.9005 39.7577, -104.898716666618 39.7580000001919)"
281,387,388,Shared Roadway,S QUEBEC ST,E MISSISSIPPI AVE,PRIVATE RD,POINT (-104.9035 39.6975),POINT (-104.9035 39.6957),"LINESTRING (-104.9035 39.6975, -104.9035 39.6957)",4,308.98,"LINESTRING (-104.9035 39.6975, -104.9035 39.6957)"
282,389,390,Shared Roadway,E VIRGINIA AVE,S MARION STREET PKWY/DENVER PARK RD,S BANNOCK ST,POINT (-104.9846 39.7075),POINT (-104.9798 39.7075),"LINESTRING (-104.9846 39.7075, -104.9798 39.7075)",4,636.13,"LINESTRING (-104.9846 39.7075, -104.9798 39.7075)"
283,390,137,Shared Roadway,E VIRGINIA AVE,S MARION STREET PKWY/DENVER PARK RD,S BANNOCK ST,POINT (-104.9798 39.7075),POINT (-104.9793 39.7075),"LINESTRING (-104.9798 39.7075, -104.9793 39.7075)",4,66.26,"LINESTRING (-104.9798 39.7075, -104.9793 39.7075)"
284,137,391,Shared Roadway,E VIRGINIA AVE,S MARION STREET PKWY/DENVER PARK RD,S BANNOCK ST,POINT (-104.9793 39.7075),POINT (-104.9769 39.7075),"LINESTRING (-104.9793 39.7075, -104.9769 39.7075)",4,318.07,"LINESTRING (-104.9793 39.7075, -104.9769 39.7075)"
285,391,392,Shared Roadway,E VIRGINIA AVE,S MARION STREET PKWY/DENVER PARK RD,S BANNOCK ST,POINT (-104.9769 39.7075),POINT (-104.972333333205 39.7072333333715),"LINESTRING (-104.9769 39.7075, -104.972333333205 39.7072333333715)",4,606.95,"LINESTRING (-104.9769 39.7075, -104.972333333205 39.7072333333715)"
286,393,394,Shared Roadway,N YOSEMITE WAY,E 1ST AVE/COLI,N YOSEMITE WAY,POINT (-104.8745 39.7183),POINT (-104.875855555557 39.7188222223949),"LINESTRING (-104.8745 39.7183, -104.875855555557 39.7188222223949)",4,200.75,"LINESTRING (-104.8745 39.7183, -104.875855555557 39.7188222223949)"
287,394,395,Shared Roadway,N YOSEMITE WAY,E 1ST AVE/COLI,N YOSEMITE WAY,POINT (-104.875855555557 39.7188222223949),POINT (-104.8771 39.7193),"LINESTRING (-104.875855555557 39.7188222223949, -104.8771 39.7193)",4,184.16,"LINESTRING (-104.875855555557 39.7188222223949, -104.8771 39.7193)"
288,395,366,Shared Roadway,N YOSEMITE WAY,E 1ST AVE/COLI,N YOSEMITE WAY,POINT (-104.8771 39.7193),POINT (-104.878 39.7197),"LINESTRING (-104.8771 39.7193, -104.878 39.7197)",4,137.6,"LINESTRING (-104.8771 39.7193, -104.878 39.7197)"
289,33,396,Shared Roadway,S FRANKLIN ST,E BUCHTEL BLVD,E DARTMOUTH AVE,POINT (-104.9687 39.6869),POINT (-104.9688 39.6749),"LINESTRING (-104.9687 39.6869, -104.9688 39.6749)",4,2060.2,"LINESTRING (-104.9687 39.6869, -104.9688 39.6749)"
290,396,397,Shared Roadway,S FRANKLIN ST,E BUCHTEL BLVD,E DARTMOUTH AVE,POINT (-104.9688 39.6749),POINT (-104.9688 39.6604),"LINESTRING (-104.9688 39.6749, -104.9688 39.6604)",4,2490.01,"LINESTRING (-104.9688 39.6749, -104.9688 39.6604)"
291,114,398,Shared Roadway,E 35TH AVE,N QUEBEC ST,N FRANKLIN ST,POINT (-104.9684 39.7658),POINT (-104.966 39.7658),"LINESTRING (-104.9684 39.7658, -104.966 39.7658)",4,317.44,"LINESTRING (-104.9684 39.7658, -104.966 39.7658)"
292,398,92,Shared Roadway,E 35TH AVE,N QUEBEC ST,N FRANKLIN ST,POINT (-104.966 39.7658),POINT (-104.9499 39.7657),"LINESTRING (-104.966 39.7658, -104.9499 39.7657)",4,2129.62,"LINESTRING (-104.966 39.7658, -104.9499 39.7657)"
293,92,399,Shared Roadway,E 35TH AVE,N QUEBEC ST,N FRANKLIN ST,POINT (-104.9499 39.7657),POINT (-104.9428 39.7657),"LINESTRING (-104.9499 39.7657, -104.9428 39.7657)",4,939.15,"LINESTRING (-104.9499 39.7657, -104.9428 39.7657)"
294,399,110,Shared Roadway,E 35TH AVE,N QUEBEC ST,N FRANKLIN ST,POINT (-104.9428 39.7657),POINT (-104.9318 39.7656),"LINESTRING (-104.9428 39.7657, -104.9318 39.7656)",4,1455.17,"LINESTRING (-104.9428 39.7657, -104.9318 39.7656)"
295,110,400,Shared Roadway,E 35TH AVE,N QUEBEC ST,N FRANKLIN ST,POINT (-104.9318 39.7656),POINT (-104.9176 39.7656),"LINESTRING (-104.9318 39.7656, -104.9176 39.7656)",4,1878.43,"LINESTRING (-104.9318 39.7656, -104.9176 39.7656)"
296,401,402,Shared Roadway,S ADAMS WAY,S ADAMS ST/E DARTMOUTH AVE,S MONROE ST,POINT (-104.948174999566 39.6598500000724),POINT (-104.9463 39.6579),"LINESTRING (-104.948174999566 39.6598500000724, -104.9463 39.6579)",4,417.32,"LINESTRING (-104.948174999566 39.6598500000724, -104.9463 39.6579)"
297,241,155,Shared Roadway,N CHEROKEE ST,COURT PL/W COLFAX AVE,W 13TH AVE,POINT (-104.9916 39.7369),POINT (-104.9917 39.7384),"LINESTRING (-104.9916 39.7369, -104.9917 39.7384)",4,257.55,"LINESTRING (-104.9916 39.7369, -104.9917 39.7384)"
298,278,319,Shared Use Path,N CENTRAL PARK BLVD,E 37TH PL,E 36TH AVE,POINT (-104.8893 39.7694),POINT (-104.8905 39.7673),"LINESTRING (-104.8893 39.7694, -104.8905 39.7673)",5,393.43,"LINESTRING (-104.8893 39.7694, -104.8905 39.7673)"
299,404,405,Buffered Bike Lane,S MONACO STREET PKWY,E EASTMORE DR,S MAGNOLIA WAY,POINT (-104.9119 39.6427),POINT (-104.912849999964 39.6442500000107),"LINESTRING (-104.9119 39.6427, -104.912849999964 39.6442500000107)",1,294.73,"LINESTRING (-104.9119 39.6427, -104.912849999964 39.6442500000107)"
300,405,406,Buffered Bike Lane,S MONACO STREET PKWY,E EASTMORE DR,S MAGNOLIA WAY,POINT (-104.912849999964 39.6442500000107),POINT (-104.912733333349 39.6456333333429),"LINESTRING (-104.912849999964 39.6442500000107, -104.912733333349 39.6456333333429)",1,238.2,"LINESTRING (-104.912849999964 39.6442500000107, -104.912733333349 39.6456333333429)"
301,406,405,Buffered Bike Lane,S MONACO STREET PKWY,E EASTMORE DR,S MAGNOLIA WAY,POINT (-104.912733333349 39.6456333333429),POINT (-104.912849999964 39.6442500000107),"LINESTRING (-104.912733333349 39.6456333333429, -104.912849999964 39.6442500000107)",1,238.2,"LINESTRING (-104.912733333349 39.6456333333429, -104.912849999964 39.6442500000107)"
302,374,407,Bike Lane,W YALE AVE,S SHERIDAN BLVD,S WADSWORTH BLVD,POINT (-105.0673 39.6678),POINT (-105.0787 39.6677),"LINESTRING (-105.0673 39.6678, -105.0787 39.6677)",0,1512.59,"LINESTRING (-105.0673 39.6678, -105.0787 39.6677)"
303,407,408,Bike Lane,W YALE AVE,S SHERIDAN BLVD,S WADSWORTH BLVD,POINT (-105.0787 39.6677),POINT (-105.0815 39.6677),"LINESTRING (-105.0787 39.6677, -105.0815 39.6677)",0,371.48,"LINESTRING (-105.0787 39.6677, -105.0815 39.6677)"
304,30,409,Shared Roadway,18TH ST,GLENARM PL,CURTIS ST,POINT (-104.988 39.7457),POINT (-104.9889 39.7464),"LINESTRING (-104.988 39.7457, -104.9889 39.7464)",4,169.09,"LINESTRING (-104.988 39.7457, -104.9889 39.7464)"
305,409,410,Shared Roadway,18TH ST,GLENARM PL,CURTIS ST,POINT (-104.9889 39.7464),POINT (-104.9915 39.7484),"LINESTRING (-104.9889 39.7464, -104.9915 39.7484)",4,485.76,"LINESTRING (-104.9889 39.7464, -104.9915 39.7484)"
306,411,412,Buffered Bike Lane,W DARTMOUTH AVE,S LOWELL BLVD,S WOLFF ST,POINT (-105.0351 39.6619),POINT (-105.0434 39.6592),"LINESTRING (-105.0351 39.6619, -105.0434 39.6592)",1,1195.17,"LINESTRING (-105.0351 39.6619, -105.0434 39.6592)"
307,414,415,Bike Lane,W 2ND AVE,N FEDERAL BLVD,N LOWELL BLVD,POINT (-105.0251 39.7198),POINT (-105.0325 39.7197),"LINESTRING (-105.0251 39.7198, -105.0325 39.7197)",0,980.31,"LINESTRING (-105.0251 39.7198, -105.0325 39.7197)"
308,415,416,Bike Lane,W 2ND AVE,N FEDERAL BLVD,N LOWELL BLVD,POINT (-105.0325 39.7197),POINT (-105.040200051706 39.7182490287655),"LINESTRING (-105.0325 39.7197, -105.040200051706 39.7182490287655)",0,1049.83,"LINESTRING (-105.0325 39.7197, -105.040200051706 39.7182490287655)"
309,417,172,Shared Roadway,W 46TH AVE,N GROVE ST,N TENNYSON ST,POINT (-105.0393 39.7802),POINT (-105.044 39.7802),"LINESTRING (-105.0393 39.7802, -105.044 39.7802)",4,621.21,"LINESTRING (-105.0393 39.7802, -105.044 39.7802)"
310,419,420,Bike Lane,W 50TH AVE,N ZUNI ST,N FEDERAL BLVD,POINT (-105.0158 39.7874),POINT (-105.0252 39.7875),"LINESTRING (-105.0158 39.7874, -105.0252 39.7875)",0,1242.31,"LINESTRING (-105.0158 39.7874, -105.0252 39.7875)"
311,421,422,Bike Lane,MORRISON RD,S STUART ST,S SHERIDAN BLVD,POINT (-105.0481 39.7004),POINT (-105.0532 39.6969),"LINESTRING (-105.0481 39.7004, -105.0532 39.6969)",0,904.19,"LINESTRING (-105.0481 39.7004, -105.0532 39.6969)"
312,423,424,Shared Roadway,19TH ST,CURTIS ST,19TH STREET/CONNECTING RD,POINT (-104.987749999782 39.7473000000965),POINT (-104.9894 39.7487),"LINESTRING (-104.987749999782 39.7473000000965, -104.9894 39.7487)",4,324.48,"LINESTRING (-104.987749999782 39.7473000000965, -104.9894 39.7487)"
313,424,425,Shared Roadway,19TH ST,CURTIS ST,19TH STREET/CONNECTING RD,POINT (-104.9894 39.7487),POINT (-104.9903 39.7493),"LINESTRING (-104.9894 39.7487, -104.9903 39.7493)",4,157.37,"LINESTRING (-104.9894 39.7487, -104.9903 39.7493)"
314,426,427,Shared Roadway,S HIGH ST,E BUCHTEL BLVD,E ILIFF AVE,POINT (-104.965 39.6847),POINT (-104.9652 39.6748),"LINESTRING (-104.965 39.6847, -104.9652 39.6748)",4,1699.89,"LINESTRING (-104.965 39.6847, -104.9652 39.6748)"
315,275,428,Shared Use Path,,AURARIA PKWY,LARIMER ST,POINT (-105.0053 39.7474),POINT (-105.0039 39.7455),"LINESTRING (-105.0053 39.7474, -105.0039 39.7455)",5,374.74,"LINESTRING (-105.0053 39.7474, -105.0039 39.7455)"
316,429,430,Shared Roadway,W 23RD AVE,N ALCOTT ST/RAMP,N CLAY ST,POINT (-105.0176 39.7512),POINT (-105.0184 39.7512),"LINESTRING (-105.0176 39.7512, -105.0184 39.7512)",4,105.85,"LINESTRING (-105.0176 39.7512, -105.0184 39.7512)"
317,430,431,Shared Roadway,W 23RD AVE,N ALCOTT ST/RAMP,N CLAY ST,POINT (-105.0184 39.7512),POINT (-105.0193 39.7512000000429),"LINESTRING (-105.0184 39.7512, -105.0193 39.7512000000429)",4,119.08,"LINESTRING (-105.0184 39.7512, -105.0193 39.7512000000429)"
318,431,377,Shared Roadway,W 23RD AVE,N ALCOTT ST/RAMP,N CLAY ST,POINT (-105.0193 39.7512000000429),POINT (-105.0205 39.7512),"LINESTRING (-105.0193 39.7512000000429, -105.0205 39.7512)",4,158.78,"LINESTRING (-105.0193 39.7512000000429, -105.0205 39.7512)"
319,34,392,Bike Lane,S MARION STREET PKWY,S DOWNING STREET PKWY/E BAYAUD AVE,E VIRGINIA AVE,POINT (-104.9731 39.7147),POINT (-104.972333333205 39.7072333333715),"LINESTRING (-104.9731 39.7147, -104.972333333205 39.7072333333715)",0,1285.11,"LINESTRING (-104.9731 39.7147, -104.972333333205 39.7072333333715)"
320,432,433,Bike Lane,18TH ST,CURTIS ST,WYNKOOP ST,POINT (-104.9932 39.7497),POINT (-104.9941 39.7504),"LINESTRING (-104.9932 39.7497, -104.9941 39.7504)",0,169.07,"LINESTRING (-104.9932 39.7497, -104.9941 39.7504)"
321,433,434,Bike Lane,18TH ST,CURTIS ST,WYNKOOP ST,POINT (-104.9941 39.7504),POINT (-104.9967 39.7524),"LINESTRING (-104.9941 39.7504, -104.9967 39.7524)",0,485.7,"LINESTRING (-104.9941 39.7504, -104.9967 39.7524)"
322,434,435,Bike Lane,18TH ST,CURTIS ST,WYNKOOP ST,POINT (-104.9967 39.7524),POINT (-104.9985 39.7538),"LINESTRING (-104.9967 39.7524, -104.9985 39.7538)",0,338.11,"LINESTRING (-104.9967 39.7524, -104.9985 39.7538)"
323,436,196,Bike Lane,S XENIA ST,S WABASH CIR/S SYRACUSE WAY,E CORNELL DR/S XENIA ST/S WILDING CT,POINT (-104.8871 39.6619),POINT (-104.89 39.6603),"LINESTRING (-104.8871 39.6619, -104.89 39.6603)",0,473.08,"LINESTRING (-104.8871 39.6619, -104.89 39.6603)"
324,437,438,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.898876359538 39.6991890911601),POINT (-104.897162500978 39.7035000004926),"LINESTRING (-104.898876359538 39.6991890911601, -104.897162500978 39.7035000004926)",6,774.05,"LINESTRING (-104.898876359538 39.6991890911601, -104.897162500978 39.7035000004926)"
325,438,439,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.897162500978 39.7035000004926),POINT (-104.895650000091 39.7039250001394),"LINESTRING (-104.897162500978 39.7035000004926, -104.895650000091 39.7039250001394)",6,213.38,"LINESTRING (-104.897162500978 39.7035000004926, -104.895650000091 39.7039250001394)"
326,439,440,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.895650000091 39.7039250001394),POINT (-104.891886491008 39.7044919011472),"LINESTRING (-104.895650000091 39.7039250001394, -104.891886491008 39.7044919011472)",6,508.35,"LINESTRING (-104.895650000091 39.7039250001394, -104.891886491008 39.7044919011472)"
327,440,441,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.891886491008 39.7044919011472),POINT (-104.887324998827 39.7035625008122),"LINESTRING (-104.891886491008 39.7044919011472, -104.887324998827 39.7035625008122)",6,625.44,"LINESTRING (-104.891886491008 39.7044919011472, -104.887324998827 39.7035625008122)"
328,441,442,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.887324998827 39.7035625008122),POINT (-104.885324998747 39.7029750013876),"LINESTRING (-104.887324998827 39.7035625008122, -104.885324998747 39.7029750013876)",6,283.69,"LINESTRING (-104.887324998827 39.7035625008122, -104.885324998747 39.7029750013876)"
329,442,443,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.885324998747 39.7029750013876),POINT (-104.8835 39.7025),"LINESTRING (-104.885324998747 39.7029750013876, -104.8835 39.7025)",6,255.34,"LINESTRING (-104.885324998747 39.7029750013876, -104.8835 39.7025)"
330,443,444,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.8835 39.7025),POINT (-104.8827 39.7023),"LINESTRING (-104.8835 39.7025, -104.8827 39.7023)",6,111.49,"LINESTRING (-104.8835 39.7025, -104.8827 39.7023)"
331,444,445,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.8827 39.7023),POINT (-104.8821 39.7022),"LINESTRING (-104.8827 39.7023, -104.8821 39.7022)",6,81.38,"LINESTRING (-104.8827 39.7023, -104.8821 39.7022)"
332,445,446,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.8821 39.7022),POINT (-104.880058612843 39.7008862104534),"LINESTRING (-104.8821 39.7022, -104.880058612843 39.7008862104534)",6,352.31,"LINESTRING (-104.8821 39.7022, -104.880058612843 39.7008862104534)"
333,446,447,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.880058612843 39.7008862104534),POINT (-104.876988888889 39.7004000011098),"LINESTRING (-104.880058612843 39.7008862104534, -104.876988888889 39.7004000011098)",6,415.51,"LINESTRING (-104.880058612843 39.7008862104534, -104.876988888889 39.7004000011098)"
334,447,448,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.876988888889 39.7004000011098),POINT (-104.874456522409 39.7004565244386),"LINESTRING (-104.876988888889 39.7004000011098, -104.874456522409 39.7004565244386)",6,335.93,"LINESTRING (-104.876988888889 39.7004000011098, -104.874456522409 39.7004565244386)"
335,448,449,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.874456522409 39.7004565244386),POINT (-104.869485724397 39.7020071452581),"LINESTRING (-104.874456522409 39.7004565244386, -104.869485724397 39.7020071452581)",6,710.83,"LINESTRING (-104.874456522409 39.7004565244386, -104.869485724397 39.7020071452581)"
336,449,450,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.869485724397 39.7020071452581),POINT (-104.8676 39.7036),"LINESTRING (-104.869485724397 39.7020071452581, -104.8676 39.7036)",6,370.5,"LINESTRING (-104.869485724397 39.7020071452581, -104.8676 39.7036)"
337,450,451,Trail,HIGH LINE CANAL TRAIL,S HAVANA ST,S PARKER RD,POINT (-104.8676 39.7036),POINT (-104.866600000652 39.7039000004718),"LINESTRING (-104.8676 39.7036, -104.866600000652 39.7039000004718)",6,142.24,"LINESTRING (-104.8676 39.7036, -104.866600000652 39.7039000004718)"
338,452,453,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.855081821262 39.6533409109955),POINT (-104.857877136237 39.6549942865524),"LINESTRING (-104.855081821262 39.6533409109955, -104.857877136237 39.6549942865524)",6,467.49,"LINESTRING (-104.855081821262 39.6533409109955, -104.857877136237 39.6549942865524)"
339,453,334,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.857877136237 39.6549942865524),POINT (-104.872953961558 39.6622032023104),"LINESTRING (-104.857877136237 39.6549942865524, -104.872953961558 39.6622032023104)",6,2354.25,"LINESTRING (-104.857877136237 39.6549942865524, -104.872953961558 39.6622032023104)"
340,334,454,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.872953961558 39.6622032023104),POINT (-104.883149999783 39.6663000000965),"LINESTRING (-104.872953961558 39.6622032023104, -104.883149999783 39.6663000000965)",6,1525.68,"LINESTRING (-104.872953961558 39.6622032023104, -104.883149999783 39.6663000000965)"
341,454,455,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.883149999783 39.6663000000965),POINT (-104.887480936831 39.6689523890531),"LINESTRING (-104.883149999783 39.6663000000965, -104.887480936831 39.6689523890531)",6,733.55,"LINESTRING (-104.883149999783 39.6663000000965, -104.887480936831 39.6689523890531)"
342,455,456,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.887480936831 39.6689523890531),POINT (-104.890845454791 39.6708727273301),"LINESTRING (-104.887480936831 39.6689523890531, -104.890845454791 39.6708727273301)",6,555.18,"LINESTRING (-104.887480936831 39.6689523890531, -104.890845454791 39.6708727273301)"
343,456,457,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.890845454791 39.6708727273301),POINT (-104.893199987655 39.6736574489891),"LINESTRING (-104.890845454791 39.6708727273301, -104.893199987655 39.6736574489891)",6,571.31,"LINESTRING (-104.890845454791 39.6708727273301, -104.893199987655 39.6736574489891)"
344,457,458,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.893199987655 39.6736574489891),POINT (-104.897878154906 39.6807254611381),"LINESTRING (-104.893199987655 39.6736574489891, -104.897878154906 39.6807254611381)",6,1363.31,"LINESTRING (-104.893199987655 39.6736574489891, -104.897878154906 39.6807254611381)"
345,458,459,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.897878154906 39.6807254611381),POINT (-104.9006 39.6834),"LINESTRING (-104.897878154906 39.6807254611381, -104.9006 39.6834)",6,584.22,"LINESTRING (-104.897878154906 39.6807254611381, -104.9006 39.6834)"
346,459,460,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9006 39.6834),POINT (-104.903495646828 39.6852000027128),"LINESTRING (-104.9006 39.6834, -104.903495646828 39.6852000027128)",6,493.04,"LINESTRING (-104.9006 39.6834, -104.903495646828 39.6852000027128)"
347,460,461,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.903495646828 39.6852000027128),POINT (-104.905546153192 39.6865384619714),"LINESTRING (-104.903495646828 39.6852000027128, -104.905546153192 39.6865384619714)",6,356.09,"LINESTRING (-104.903495646828 39.6852000027128, -104.905546153192 39.6865384619714)"
348,461,462,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.905546153192 39.6865384619714),POINT (-104.907729999678 39.687660000292),"LINESTRING (-104.905546153192 39.6865384619714, -104.907729999678 39.687660000292)",6,347.84,"LINESTRING (-104.905546153192 39.6865384619714, -104.907729999678 39.687660000292)"
349,462,463,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.907729999678 39.687660000292),POINT (-104.9141 39.6913),"LINESTRING (-104.907729999678 39.687660000292, -104.9141 39.6913)",6,1050.88,"LINESTRING (-104.907729999678 39.687660000292, -104.9141 39.6913)"
350,463,464,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9141 39.6913),POINT (-104.9212 39.6954),"LINESTRING (-104.9141 39.6913, -104.9212 39.6954)",6,1175.55,"LINESTRING (-104.9141 39.6913, -104.9212 39.6954)"
351,464,465,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.9212 39.6954),POINT (-104.923123073345 39.6972307709671),"LINESTRING (-104.9212 39.6954, -104.923123073345 39.6972307709671)",6,404.7,"LINESTRING (-104.9212 39.6954, -104.923123073345 39.6972307709671)"
352,465,466,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.923123073345 39.6972307709671),POINT (-104.925344442861 39.6990666670299),"LINESTRING (-104.923123073345 39.6972307709671, -104.925344442861 39.6990666670299)",6,431.34,"LINESTRING (-104.923123073345 39.6972307709671, -104.925344442861 39.6990666670299)"
353,466,467,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.925344442861 39.6990666670299),POINT (-104.926399999903 39.7004000000286),"LINESTRING (-104.925344442861 39.6990666670299, -104.926399999903 39.7004000000286)",6,268.25,"LINESTRING (-104.925344442861 39.6990666670299, -104.926399999903 39.7004000000286)"
354,467,468,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.926399999903 39.7004000000286),POINT (-104.927049999964 39.7012500000107),"LINESTRING (-104.926399999903 39.7004000000286, -104.927049999964 39.7012500000107)",6,169.44,"LINESTRING (-104.926399999903 39.7004000000286, -104.927049999964 39.7012500000107)"
355,468,469,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.927049999964 39.7012500000107),POINT (-104.927633332802 39.7020000001239),"LINESTRING (-104.927049999964 39.7012500000107, -104.927633332802 39.7020000001239)",6,150.17,"LINESTRING (-104.927049999964 39.7012500000107, -104.927633332802 39.7020000001239)"
356,469,470,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.927633332802 39.7020000001239),POINT (-104.928349999783 39.7026000000965),"LINESTRING (-104.927633332802 39.7020000001239, -104.928349999783 39.7026000000965)",6,140.11,"LINESTRING (-104.927633332802 39.7020000001239, -104.928349999783 39.7026000000965)"
357,470,471,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.928349999783 39.7026000000965),POINT (-104.929933331865 39.7034600009988),"LINESTRING (-104.928349999783 39.7026000000965, -104.929933331865 39.7034600009988)",6,256.6,"LINESTRING (-104.928349999783 39.7026000000965, -104.929933331865 39.7034600009988)"
358,471,472,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.929933331865 39.7034600009988),POINT (-104.931788888372 39.7042111115347),"LINESTRING (-104.929933331865 39.7034600009988, -104.931788888372 39.7042111115347)",6,277.71,"LINESTRING (-104.929933331865 39.7034600009988, -104.931788888372 39.7042111115347)"
359,472,473,Trail,Cherry Creek Trail,CHERRY CREEK RESERVOIR DAM,SOUTH PLATTE RIVER TRAIL,POINT (-104.931788888372 39.7042111115347),POINT (-104.938660501023 39.706409224016),"LINESTRING (-104.931788888372 39.7042111115347, -104.938660501023 39.706409224016)",6,985.89,"LINESTRING (-104.931788888372 39.7042111115347, -104.938660501023 39.706409224016)"
